"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
118.751,2021,5,30,9,3.75,11.375,4,76.563,17.313,5.75,0.0325167924511825,0.0962808753735251,0.0346074181207675,0.641415699969154,0.145937416277508,0.0492417978078625
116,2021,5,30,19,6.5,14.75,3.25,64.375,21.125,6,0.0568027618135377,0.127429557790549,0.0289800846104725,0.552260436621967,0.182004809227331,0.052522349936143
141.751,2021,5,30,23,5.75,17.313,7.063,73.375,32.5,5.75,0.0414398000850213,0.122445940351325,0.0506381968825355,0.515195766141306,0.22884049645479,0.0414398000850213
137.25,2021,5,31,2,5,13,8,85.875,19.125,6.25,0.0373342946771909,0.0952173143088444,0.0590404270390609,0.622495446265938,0.139534001214329,0.0463785164946367
129,2021,5,31,3,13.125,11.5,5,61.875,30,7.5,0.102195036606374,0.0896856158484065,0.0396479328165375,0.477477659345392,0.232100559862188,0.0588931955211025
120.751,2021,5,31,4,4,9.188,3.938,82.625,15.75,5.25,0.0340533852645036,0.0767194685451574,0.0335434976077186,0.680664950018051,0.130685320219724,0.0443333783448462
138.501,2021,5,31,6,7,12.938,6,77.938,28.625,6,0.0513475785172831,0.0939231836673462,0.0441775540730151,0.559974772544763,0.206399357124578,0.0441775540730151
254.251,2021,5,31,10,47.75,18,23.813,139.688,17.75,7.25,0.187659732974574,0.0714619489824651,0.0941664101033435,0.546751896492778,0.0704854970161449,0.0294745144306945
26.376,2021,5,31,14,17.5,5.813,3.063,0,0,0,0.660031847133758,0.220016671300509,0.116479259343511,0.00115740740740741,0.00115740740740741,0.00115740740740741
9.688,2021,5,31,17,5.625,1.25,2.813,0,0,0,0.577740551503196,0.129286994984249,0.289500231290332,0.00115740740740741,0.00115740740740741,0.00115740740740741
30.75,2021,5,31,20,26.25,0.625,3.875,0,0,0,0.84888775971093,0.0213414634146341,0.126298554652213,0.00115740740740741,0.00115740740740741,0.00115740740740741
250.25,2021,5,31,21,50.25,23.875,23.25,124.75,22.375,5.75,0.200562169312169,0.0958994708994709,0.0934193121693122,0.49619708994709,0.0899470899470899,0.0239748677248677
130.251,2021,6,1,3,6.625,11.188,8.25,82.188,15.75,6.25,0.0516675229194231,0.0864566032335858,0.0640567965355779,0.62777255815481,0.121238059379369,0.0488084597772335
247.001,2021,6,1,9,118.25,16.813,15.375,53.563,36,7,0.476575804273997,0.0687532594709843,0.0629718501289618,0.216504854268846,0.145893663535925,0.0293005683212859
302.251,2021,6,1,11,106.5,33.313,32.688,34.375,88.625,6.75,0.35106664399113,0.110608359504248,0.108554901543076,0.114097595271872,0.292337746301608,0.0233347533880659
295.001,2021,6,1,19,120.25,24.125,36.063,58.188,50.375,6,0.405952409985553,0.0823688788186154,0.122555512837559,0.19703442703333,0.170733692271225,0.0213550790537182
4.938,2021,6,2,2,2.25,0.563,2.125,0,0,0,0.45364323162774,0.114379415867873,0.428505130282166,0.00115740740740741,0.00115740740740741,0.00115740740740741
159.5,2021,6,2,7,17.625,9.25,6.125,103.125,17.375,6,0.110891602809706,0.0587484035759898,0.0392919859514687,0.643219189016603,0.109335089399745,0.0385137292464879
252.751,2021,6,2,10,73.75,17.813,24.875,106.813,22.25,7.25,0.290920246020201,0.0711444642780473,0.0988909750073158,0.420824364434503,0.0885773824465214,0.0296425678134109
308.5,2021,6,2,15,58.75,29.625,43.25,144.125,24.25,8.5,0.190272525361666,0.096519711567321,0.140378324029053,0.46509300528243,0.0792176901374632,0.0285187436220662
71.188,2021,6,3,13,3.75,24.313,34.125,0,0,9,0.0534690095500906,0.340317936179423,0.477192986905825,0.00115740740740741,0.00115740740740741,0.126705252549847
9.688,2021,6,3,17,1.125,1.688,6.875,0,0,0,0.116474036226565,0.174183602471175,0.705870139080038,0.00115740740740741,0.00115740740740741,0.00115740740740741
273.501,2021,6,3,19,85.625,19.563,36.75,86.313,39.25,6,0.312053462428941,0.072188759517028,0.134593086496942,0.31455152357761,0.143670343577862,0.0229428244016171
311.688,2021,6,4,1,275.75,8.75,9.813,0,11.125,6.25,0.879712467096726,0.0290354011418826,0.032422179123568,0.00115740740740741,0.0366022851555259,0.0210702600748897
106.501,2021,6,4,7,20.125,10.313,4.688,49.75,15.625,6,0.18881050977786,0.0973197152208969,0.0448700903347456,0.465045200844923,0.146850809868939,0.0571036739526355
177.5,2021,6,4,16,93.5,11.25,12.375,15,45.375,0,0.52425991131977,0.0640975482524778,0.0703915623369849,0.0850775952008346,0.255015975482525,0.00115740740740741
383.813,2021,6,4,20,66.125,24.5,25.063,0,262.125,6,0.172245407582261,0.0645472902699241,0.0660039639046831,0.00115740740740741,0.679364470482394,0.0166814603533299
171,2021,6,5,0,33.375,13,7.125,78.5,33,6,0.194977461013645,0.0766528589993502,0.0425347222222222,0.457033788174139,0.192799707602339,0.0360014619883041
125.501,2021,6,5,13,3.375,10.063,3.75,79.563,23.75,5,0.0278628719056983,0.0807832116285336,0.0308301457388417,0.630717962037782,0.189084750173158,0.0407210585159864
121.251,2021,6,5,15,7.25,12.438,5.5,73.938,16.375,5.75,0.0605354973017405,0.103025639421989,0.0462028549134532,0.606715643353228,0.135269989754953,0.0482503752546371
137.001,2021,6,6,0,6.25,11.438,8.563,80.875,23.875,6,0.0464607060856815,0.0840660682525432,0.0632265508605371,0.587382092304274,0.174216008358414,0.0446485741385505
125.501,2021,6,6,3,3,9.625,3.188,92.188,17.5,0,0.0248955980725548,0.077317435791422,0.0263831913542374,0.730616181086944,0.139630186287434,0.00115740740740741
129.5,2021,6,6,9,6.625,11.5,4.75,82.75,17.875,6,0.0519604425854426,0.0893438080938081,0.0375822250822251,0.635716073216073,0.138229747604748,0.0471677034177034
